Brand,Model,Capacity,Energy Rating,Type,Features,Color,Material,Warranty Period,Country of Manufacture,Price,Random Numeric Feature 1,Random Text Feature 2,Irrelevant Category Feature 3
Panasonic,Model0,369.0,A++,,None,,Stainless Steel,5.0,Germany,1231.0,3984.0,Text0,Category3
GE,Model1,619.0,A,Side-by-Side,Smart Connectivity,White,Glass,8.0,Germany,267.0,3155.0,Text1,Category3
GE,Model2,309.0,A,Single Door,Ice Dispenser,Black,Stainless Steel,7.0,India,477.0,2218.0,Text2,Category2
LG,Model3,662.0,B,Side-by-Side,Ice Dispenser,Gray,Plastic,8.0,India,,4734.0,Text3,Category2
Bosch,Model4,533.0,B,Double Door,Water Dispenser,Gray,Plastic,,India,993.0,4259.0,Text4,Category1
GE,Model5,371.0,A++,Single Door,Smart Connectivity,Silver,Glass,4.0,Germany,462.0,1911.0,Text5,Category1
GE,Model6,288.0,B,Double Door,Smart Connectivity,White,Glass,6.0,USA,1906.0,1307.0,Text6,Category1
Siemens,Model7,671.0,A,Single Door,,White,Stainless Steel,4.0,India,940.0,4877.0,Text7,Category1
Bosch,Model8,492.0,B,Side-by-Side,Ice Dispenser,Silver,Plastic,5.0,Germany,499.0,2666.0,Text8,Category2
GE,Model9,287.0,A+,Side-by-Side,Ice Dispenser,Black,Glass,2.0,India,1097.0,2042.0,Text9,Category2
LG,Model10,529.0,B,Side-by-Side,Ice Dispenser,Silver,Glass,3.0,China,1106.0,1653.0,Text10,Category3
GE,Model11,647.0,A,Double Door,Smart Connectivity,Gray,Stainless Steel,5.0,India,1438.0,4476.0,Text11,Category2
GE,,621.0,A,Double Door,None,Gray,Plastic,2.0,USA,1828.0,2115.0,,Category2
Haier,Model13,342.0,B,Single Door,Smart Connectivity,White,Stainless Steel,6.0,Germany,1990.0,3163.0,Text13,Category3
GE,Model14,198.0,,Side-by-Side,Water Dispenser,White,Stainless Steel,2.0,,1718.0,4509.0,Text14,Category2
Haier,Model15,529.0,A++,Side-by-Side,Ice Dispenser,Black,Plastic,,China,1828.0,4489.0,Text15,Category2
Panasonic,Model16,680.0,A++,Single Door,,Black,Glass,3.0,USA,725.0,4166.0,Text16,Category3
Panasonic,Model17,557.0,A,Single Door,Smart Connectivity,Silver,Plastic,9.0,China,1751.0,3401.0,Text17,Category3
Panasonic,Model18,224.0,A++,Side-by-Side,Smart Connectivity,Black,Plastic,3.0,USA,1165.0,2173.0,Text18,Category3
LG,Model19,749.0,A+,Single Door,None,Black,,5.0,China,888.0,4693.0,Text19,Category1
Haier,Model20,455.0,A,Side-by-Side,Smart Connectivity,Black,Stainless Steel,1.0,China,1079.0,2789.0,Text20,Category2
Siemens,Model21,515.0,B,Single Door,Ice Dispenser,Black,Glass,8.0,China,1573.0,4302.0,Text21,Category1
Samsung,Model22,594.0,,Side-by-Side,Water Dispenser,Silver,Stainless Steel,4.0,USA,315.0,2278.0,Text22,Category3
Bosch,Model23,,A+,Side-by-Side,Water Dispenser,Silver,Plastic,4.0,India,1453.0,3388.0,Text23,Category3
Siemens,Model24,679.0,A++,Side-by-Side,Smart Connectivity,Gray,Glass,6.0,,413.0,2457.0,Text24,Category1
Bosch,Model25,477.0,B,Double Door,Smart Connectivity,Black,Plastic,1.0,China,215.0,2049.0,Text25,Category2
